1password 8.10.60-27
ffmpeg 2:7.1-6
fftw 3.3.10-7
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 135.0.1-1
flac 1.4.3-2
flameshot 12.1.0-5
flex 2.6.4-5
fmt 11.1.3-1
font-manager 0.9.2-2
fontconfig 2:2.16.0-2
freeglut 3.6.0-1
freetype2 2.13.3-3
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fzf 0.60.0-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdb 16.2-1
gdb-common 16.2-1
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.23.1-2
ghc-libs 9.2.8-1
ghostscript 10.04.0-1
ghostty 1.1.2-1
ghostty-shell-integration 1.1.2-1
ghostty-terminfo 1.1.2-1
giflib 5.2.2-1
git 2.48.1-2
git-delta 0.18.2-4
gjs 2:1.82.1-2
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.82.4-2
glib2-docs 2.82.4-2
glibc 2.41+r9+ga900dbaf70f0-1
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glow 2.0.0-1
glslang 15.1.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-backgrounds 47.0-1
gnome-bluetooth-3.0 47.1-1
gnome-boxes 47.0-1
gnome-calculator 47.1-1
gnome-color-manager 3.36.2-1
gnome-console 47.1-1
gnome-control-center 47.4-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-disk-utility 46.1-1
gnome-keybindings 47.4-1
gnome-keyring 1:46.2-1
gnome-menus 3.36.0-3
gnome-multi-writer 3.35.90-3
gnome-nettool 42.0-3
gnome-online-accounts 3.52.3.1-1
gnome-power-manager 43.0-2
gnome-screenshot 41.0+r39+ga362197-3
gnome-session 47.0.1-1
gnome-settings-daemon 47.2-1
gnome-shell 1:47.4-1
gnome-shell-extensions 47.4-1
gnome-system-monitor 47.1-1
gnome-text-editor 47.3-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-tweaks 46.1-2
gnome-usage 46.0-1
gnu-netcat 0.7.1-10
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
go 2:1.24.0-1
go-tools 4:0.30.0-1
gobject-introspection-runtime 1.82.0-3
gperftools 2.16-1
gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-4
graphviz 12.2.1-1
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-3
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsfonts 20200910-4
gsl 2.8-1
gsm 1.0.22-2
gsound 1.0.3-3
gssdp 1.6.3-2
gst-plugins-bad-libs 1.24.12-2
gst-plugins-base 1.24.12-2
gst-plugins-base-libs 1.24.12-2
gst-plugins-good 1.24.12-2
gstreamer 1.24.12-2
gtest 1.15.2-1
gtk-doc 1.34.0-3
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.12-1
gtk2 2.24.33-5
gtk3 1:3.24.48-2
gtk4 1:4.16.12-1
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview5 5.14.2-1
gts 0.7.6.121130-3
guile 3.0.10-1
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gvfs 1.56.1-3
gzip 1.13-4
harfbuzz 10.3.0-1
harfbuzz-icu 10.3.0-1
haskell-aeson 2.1.2.1-64
haskell-aeson-pretty 0.8.10-24
haskell-ansi-terminal 1.0-2
haskell-ansi-terminal-types 0.11.5-19
haskell-ansi-wl-pprint 0.6.9-438
haskell-appar 0.1.8-14
haskell-asn1-encoding 0.9.6-240
haskell-asn1-parse 0.9.5-240
haskell-asn1-types 0.3.4-219
haskell-assoc 1.0.2-298
haskell-async 2.2.5-58
haskell-attoparsec 0.14.4-84
haskell-attoparsec-aeson 2.1.0.0-48
haskell-attoparsec-iso8601 1.1.0.0-60
haskell-auto-update 0.1.6-349
haskell-base-compat 0.12.2-2
haskell-base-compat-batteries 0.12.2-101
haskell-base-orphans 0.8.8.2-33
haskell-base-unicode-symbols 0.2.4.2-14
haskell-base16-bytestring 1.0.2.0-90
haskell-base64-bytestring 1.2.1.0-114
haskell-basement 0.0.16-2
haskell-bifunctors 5.6-109
haskell-bitvec 1.1.3.0-111
haskell-blaze-builder 0.4.2.3-2
haskell-blaze-html 0.9.2.0-10
haskell-blaze-markup 0.8.3.0-20
haskell-boring 0.2.1-4
haskell-bsb-http-chunked 0.0.0.4-393
haskell-byteorder 1.0.4-25
haskell-call-stack 0.4.0-205
haskell-case-insensitive 1.2.1.0-213
haskell-cassava 0.5.3.2-8
haskell-cereal 0.5.8.3-2
haskell-citeproc 0.8.1-132
haskell-cmdargs 0.10.22-2
haskell-colour 2.3.6-230
haskell-commonmark 0.2.5.1-6
haskell-commonmark-extensions 0.2.5.2-13
haskell-commonmark-pandoc 0.2.2.1-5
haskell-comonad 5.0.8-293
haskell-conduit 1.3.6-15
haskell-conduit-extra 1.3.6-156
haskell-constraints 0.13.4-60
haskell-contravariant 1.5.5-4
haskell-cookie 0.4.6-2
haskell-cryptohash-md5 0.11.101.0-112
haskell-cryptohash-sha1 0.11.101.0-93
haskell-crypton 0.34-21
haskell-crypton-connection 0.3.2-19
haskell-crypton-x509 1.7.6-38
haskell-crypton-x509-store 1.6.9-38
haskell-crypton-x509-system 1.6.7-38
haskell-crypton-x509-validation 1.6.12-38
haskell-data-array-byte 0.1.0.1-74
haskell-data-default 0.7.1.1-320
haskell-data-default-class 0.1.2.0-25
haskell-data-default-instances-containers 0.1.0.2-1
haskell-data-default-instances-dlist 0.0.1.2-4
haskell-data-default-instances-old-locale 0.0.1-37
haskell-data-fix 0.3.2-112
haskell-dec 0.0.5-6
haskell-diff 0.4.1-85
haskell-digest 0.0.1.7-2
haskell-distributive 0.6.2.1-219
haskell-djot 0.1.1.3-8
haskell-dlist 1.0-255
haskell-doclayout 0.4.0.1-40
haskell-doctemplates 0.11-89
haskell-easy-file 0.2.5-31
haskell-emojis 0.1.4-6
haskell-entropy 0.4.1.11-1
haskell-erf 2.0.0.0-25
haskell-fast-logger 3.1.2-94
haskell-fgl 5.8.3.0-9
haskell-file-embed 0.0.15.0-2
haskell-foldable1-classes-compat 0.1-109
haskell-generically 0.1.1-2
haskell-ghc-bignum-orphans 0.1.1-2
haskell-glob 0.10.2-100
haskell-gridtables 0.1.0.0-59
haskell-haddock-library 1.11.0-39
haskell-hashable 1.4.4.0-34
haskell-hourglass 0.2.12-256
haskell-hslua 2.3.0-70
haskell-hslua-aeson 2.3.0.1-52
haskell-hslua-classes 2.3.0-70
haskell-hslua-core 2.3.1-62
haskell-hslua-list 1.1.1-77
haskell-hslua-marshalling 2.3.1-22
haskell-hslua-module-doclayout 1.1.0-80
haskell-hslua-module-path 1.1.0-73
haskell-hslua-module-system 1.1.0.1-44
haskell-hslua-module-text 1.1.0.1-45
haskell-hslua-module-version 1.1.1-12
haskell-hslua-module-zip 1.1.1-39
haskell-hslua-objectorientation 2.3.0-66
haskell-hslua-packaging 2.3.1-31
haskell-hslua-repl 0.1.2-28
haskell-hslua-typing 0.1.1-24
haskell-http-api-data 0.5.1-70
haskell-http-client 0.7.17-12
haskell-http-client-tls 0.3.6.3-79
haskell-http-date 0.0.11-146
haskell-http-media 0.8.1.1-24
haskell-http-types 0.12.4-22
haskell-http2 4.1.0-41
haskell-hunit 1.6.2.0-247
haskell-indexed-traversable 0.1.4-22
haskell-indexed-traversable-instances 0.1.2-11
haskell-integer-logarithms 1.0.3.1-7
haskell-iproute 1.7.14-6
haskell-ipynb 0.2-156
haskell-isocline 1.0.9-2
haskell-jira-wiki-markup 1.5.1-32
haskell-juicypixels 3.3.8-41
haskell-lexer 1.1.1-2
haskell-libyaml 0.1.4-28
haskell-lpeg 1.0.4-37
haskell-lua 2.3.3-9
haskell-memory 0.18.0-18
haskell-mime-types 0.1.2.0-2
haskell-mmorph 1.2.0-6
haskell-monad-control 1.0.3.1-112
haskell-mono-traversable 1.0.21.0-3
haskell-network 3.1.4.0-30
haskell-network-byte-order 0.1.7-2
haskell-network-info 0.2.1-2
haskell-network-uri 2.6.4.2-41
haskell-old-locale 1.0.0.7-31
haskell-old-time 1.1.0.4-3
haskell-onetuple 0.4.1.1-15
haskell-only 0.1-23
haskell-optparse-applicative 0.17.1.0-49
haskell-ordered-containers 0.2.4-10
haskell-os-string 2.0.6-19
haskell-pandoc 3.1.12.1-4
haskell-pandoc-lua-engine 0.2.1.2-82
haskell-pandoc-lua-marshal 0.2.7-11
haskell-pandoc-server 0.1.0.5-100
haskell-pandoc-types 1.23.1-38
haskell-pem 0.2.4-296
haskell-pretty-show 1.10-16
haskell-prettyprinter 1.7.1-181
haskell-primitive 0.7.4.0-131
haskell-psqueues 0.2.8.0-20
haskell-quickcheck 2.14.3-93
haskell-random 1.2.1.2-37
haskell-recv 0.1.0-40
haskell-regex-base 0.94.0.2-3
haskell-regex-tdfa 1.3.2.2-55
haskell-resourcet 1.2.6-61
haskell-safe 0.3.21-15
haskell-safe-exceptions 0.1.7.4-31
haskell-scientific 0.3.7.0-123
haskell-semialign 1.2.0.1-177
haskell-semigroupoids 5.3.7-158
haskell-servant 0.20.2-12
haskell-servant-server 0.20.2-19
haskell-sha 1.6.4.4-20
haskell-simple-sendfile 0.2.32-58
haskell-singleton-bool 0.1.7-4
haskell-skylighting 0.14.1.1-16
haskell-skylighting-core 0.14.1.1-14
haskell-skylighting-format-ansi 0.1-148
haskell-skylighting-format-blaze-html 0.1.1.3-2
haskell-skylighting-format-context 0.1.0.2-112
haskell-skylighting-format-latex 0.1-147
haskell-socks 0.6.1-247
haskell-some 1.0.5-2
haskell-sop-core 0.5.0.2-2
haskell-split 0.2.5-16
haskell-splitmix 0.1.0.5-43
haskell-statevar 1.2.2-3
haskell-streaming-commons 0.2.2.6-36
haskell-strict 0.4.0.1-272
haskell-syb 0.7.2.4-24
haskell-tagged 0.8.9-1
haskell-tagsoup 0.14.8-236
haskell-temporary 1.3-618
haskell-texmath 0.12.8.7-5
haskell-text-conversions 0.3.1.1-73
haskell-text-icu 0.8.0.5-13
haskell-text-short 0.1.6-9
haskell-th-abstraction 0.4.5.0-2
haskell-th-compat 0.1.5-12
haskell-th-lift 0.8.4-2
haskell-th-lift-instances 0.1.20-57
haskell-these 1.1.1.1-299
haskell-time-compat 1.9.6.1-107
haskell-time-manager 0.0.1-45
haskell-tls 1.8.0-40
haskell-toml-parser 1.3.1.3-34
haskell-transformers-base 0.4.6-112
haskell-transformers-compat 0.7.2-2
haskell-type-equality 1.0.1-1
haskell-typed-process 0.2.11.1-25
haskell-typst 0.5.0.1-12
haskell-typst-symbols 0.1.5-1
haskell-unicode-collation 0.1.3.6-22
haskell-unicode-data 0.4.0.1-43
haskell-unicode-transforms 0.4.0.1-84
haskell-uniplate 1.6.13-234
haskell-unix-compat 0.7.2-12
haskell-unix-time 0.4.14-9
haskell-unliftio 0.2.25.0-20
haskell-unliftio-core 0.2.1.0-2
haskell-unordered-containers 0.2.20-29
haskell-utf8-string 1.0.2-160
haskell-uuid 1.3.15-139
haskell-uuid-types 1.0.5.1-26
haskell-vault 0.3.1.5-196
haskell-vector 0.13.1.0-58
haskell-vector-algorithms 0.9.0.3-6
haskell-vector-stream 0.1.0.1-2
haskell-wai 3.2.4-35
haskell-wai-app-static 3.1.9-49
haskell-wai-cors 0.2.7-371
haskell-wai-extra 3.1.15-42
haskell-wai-logger 2.5.0-11
haskell-warp 3.3.30-87
haskell-witherable 0.4.2-118
haskell-word8 0.1.3-23
haskell-xml 1.3.14-31
haskell-xml-conduit 1.9.1.4-8
haskell-xml-types 0.3.8-9
haskell-yaml 0.11.11.2-72
haskell-zip-archive 0.4.3.2-12
haskell-zlib 0.6.3.0-70
helm 3.17.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highlight 4.15-5
highway 1.2.0-1
hslua-cli 1.4.1-66
htop 3.3.0-3
httpie 3.2.4-1
hunspell 1.7.2-2
hwdata 0.392-1
hwinfo 23.3-1
hwloc 2.11.2-1
hyphen 2.8.8-6
hyprcursor 0.1.11-3
hyprgraphics 0.1.2-1
hypridle 0.1.5-4
hyprland 0.47.2-2
hyprland-qt-support 0.1.0-4
hyprland-qtutils 0.1.3-4
hyprlang 0.6.0-5
hyprlock 0.6.2-3
hyprpaper 0.7.4-4
hyprutils 0.5.1-1
hyprwayland-scanner 0.4.4-1
i3-wm 4.24-1
i3lock 2.15-2
i3status 2.15-1
iana-etc 20241206-1
icu 76.1-1
iio-sensor-proxy 3.6-1
ijs 0.35-6
imagemagick 7.1.1.43-1
imath 3.1.12-3
imlib2 1.12.3-2
iniparser 4.2.6-1
iproute2 6.13.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
jansson 2.14-4
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jq 1.7.1-2
jre-openjdk 23.0.2.u7-1
js128 128.7.0-1
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
just 1.39.0-1
kbd 2.7.1-2
keyutils 1.6.3-3
kguiaddons5 5.116.0-1
kitty 0.39.1-1
kitty-shell-integration 0.39.1-1
kitty-terminfo 0.39.1-1
kmod 33-3
krb5 1.21.3-1
kubectl 1.32.2-1
l-smash 2.14.5-4
ladspa 1.17-5
lame 3.100-5
lapack 3.12.1-2
lazygit 0.46.0-1
lcms2 2.17-1
ldb 2:4.21.4-1
leancrypto 1.2.0-2
less 1:668-1
libabw 0.1.3-4
libadwaita 1:1.6.4-1
libaio 0.3.113-3
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.7-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavif 1.1.1-2
libb2 0.98.1-3
libblockdev 3.3.0-1
libblockdev-crypto 3.3.0-1
libblockdev-fs 3.3.0-1
libblockdev-loop 3.3.0-1
libblockdev-mdraid 3.3.0-1
libblockdev-nvme 3.3.0-1
libblockdev-part 3.3.0-1
libblockdev-swap 3.3.0-1
libbluray 1.3.4-2
libbpf 1.5.0-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.71-1
libcap-ng 0.8.5-3
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-2
libcgif 0.5.0-1
libcloudproviders 0.3.6-1
libcmis 0.6.2-3
libcolord 1.4.7-2
libcue 2.3.0-1
libcups 2:2.4.11-2
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdc1394 2.2.7-1
libde265 1.0.15-3
libdecor 0.2.2-1
libdeflate 1.23-1
libdisplay-info 0.2.0-2
libdovi 3.3.1-1
libdrm 2.4.124-1
libdv 1.0.0-11
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-17
libebur128 1.2.6-2
libedit 20240808_3.1-1
libei 1.3.0-1
libelf 0.192-4
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.12-2
libev 4.33-3
libevdev 1.13.3-1
libevent 2.1.12-4
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfdk-aac 2.0.3-1
libffi 3.4.6-1
libfontenc 1.1.8-1
libfreeaptx 0.1.1-2
libfreehand 0.1.2-5
libgcrypt 1.11.0-3
libgdm 47.0-2
libgee 0.20.8-1
libgexiv2 0.14.3-2
libgirepository 1.82.0-3
libgit2 1:1.9.0-2
libglvnd 1.7.0-1
libgoa 3.52.3.1-1
libgpg-error 1.51-1
libgsf 1.14.53-1
libgtop 2.41.3-2
libgudev 238-1
libgusb 0.4.9-1
libgweather-4 4.4.4-1
libgxps 0.3.2-5
libhandy 1.8.3-2
libheif 1.19.5-1
libibus 1.5.31-2
libical 3.0.19-2
libice 1.1.2-1
libidn 1.42-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libimagequant 4.3.3-1
libimobiledevice 1.3.0-15
libimobiledevice-glue 1.3.1-1
libinih 58-1
libinput 1.27.1-1
libiptcdata 1.0.5-4
libisl 0.27-1
libixion 0.19.0-7
libjpeg-turbo 3.1.0-1
libjxl 0.11.1-1
libksba 1.6.7-1
liblangtag 0.6.7-1
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.9-1
libliftoff 0.5.0-1
liblqr 0.4.3-1
libluv 1.48.0_2-1
libmalcontent 0.13.0-1
libmanette 0.2.9-2
libmd 1.1.0-2
libmm-glib 1.22.0-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpdclient 2.22-1
libmspub 0.1.4-17
libmwaw 0.3.22-3
libmysofa 1.3.3-1
libnautilus-extension 47.2-1
libnbd 1.20.3-4
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.24-3
libnfnetlink 1.0.2-2
libnfs 6.0.2-3
libnftnl 1.2.8-1
libnghttp2 1.64.0-1
libnghttp3 1.7.0-1
libngtcp2 1.10.0-1
libnice 0.1.22-1
libnl 3.11.0-1
libnm 1.50.2-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.3-1
libnsl 2.0.1-1
libnumbertext 1.0.11-2
libnvme 1.11.1-2
libodfgen 0.1.8-3
libogg 1.3.5-2
libopenmpt 0.7.13-1
liborcus 0.19.2-5
libosinfo 1.12.0-1
libp11-kit 0.25.5-1
libpagemaker 0.0.4-4
libpaper 2.2.6-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.2.7-1
libplacebo 7.349.0-4
libplist 2.6.0-2
libpng 1.6.47-1
libportal 0.9.0-1
libportal-gtk3 0.9.0-1
libportal-gtk4 0.9.0-1
libproxy 0.5.9-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libpwquality 1.4.5-6
libqxp 0.0.2-13
libraqm 0.10.2-1
libraw1394 2.1.2-4
libreoffice-fresh 25.2.0-3
librest 0.9.1-2
librevenge 0.0.5-3
librsvg 2:2.59.2-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsass 3.6.6-1
libseccomp 2.5.5-4
libsecret 0.21.6-1
libshout 1:2.4.6-3
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsixel 1.10.3-7
libslirp 4.9.0-1
libsm 1.2.5-1
libsndfile 1.2.2-2
libsodium 1.0.20-1
libsoup3 3.6.4-1
libsoxr 0.1.3-4
libspelling 0.4.6-2
libspng 0.7.4-2
libssh 0.11.1-1
libssh2 1.11.1-1
libstaroffice 0.0.7-4
libstemmer 2.2.0-2
libsysprof-capture 47.2-3
libtasn1 4.20.0-1
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.7.0-1
libtirpc 1.3.6-1
libtommath 1.3.0-1
libtool 2.5.4+r1+gbaa1fe41-3
libtraceevent 1:1.8.4-1
libtracefs 1.8.1-1
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.1-3
liburcu 0.15.0-1
liburing 2.9-1
libusb 1.0.27-1
libusbmuxd 2.1.0-1
libutempter 1.2.1-4
libutf8proc 2.10.0-1
libuv 1.50.0-1
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvips 8.16.0-2
libvirt 1:11.0.0-2
libvirt-glib 5.0.0-2
libvisio 0.1.8-2
libvorbis 1.3.7-4
libvpl 2.14.0-1
libvpx 1.15.0-1
libvterm 0.3.3-2
libwacom 2.14.0-1
libwbclient 2:4.21.4-1
libwebp 1.5.0-1
libwireplumber 0.5.8-1
libwpd 0.10.3-5
libwps 0.4.14-3
libx11 1.8.11-1
libx86emu 3.5-4
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxdp 1.5.2-1
libxext 1.3.6-1
libxfce4ui 4.20.0-3
libxfce4util 4.20.0-2
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.8.0-1
libxkbcommon-x11 1.8.0-1
libxkbfile 1.1.3-1
libxml2 2.13.6-2
libxmlb 0.3.21-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.42-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxvmc 1.0.14-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.2-1
libzmf 0.0.2-17
licenses 20240728-1
lilv 0.24.26-1
linux 6.13.3.arch1-1
linux-api-headers 6.13-1
linux-firmware 20250210.5bc5868b-1
linux-firmware-whence 20250210.5bc5868b-1
lld 19.1.7-1
llhttp 9.2.1-2
llvm-libs 19.1.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
localsearch 3.8.2-2
lpsolve 5.5.2.11-3
lsof 4.99.4-1
lua 5.4.7-1
lua-lpeg 1.1.0-3
lua51-lpeg 1.1.0-3
luajit 2.1.1736781742-1
luarocks 3.11.1-2
lv2 1.18.10-1
lxappearance 0.6.3-5
ly 1.0.2-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
maim 5.8.0-3
make 4.4.1-2
man-db 2.13.0-1
markdownlint-cli2 0.17.2-1
md4c 0.5.2-1
mdadm 4.4-1
mesa 1:24.3.4-1
mesa-utils 9.0.0-5
meson 1.7.0-1
microsoft-edge-beta-bin 134.0.3124.8-1
minizip 1:1.3.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mpdecimal 4.0.0-2
mpfr 4.2.1-6
mpg123 1.32.10-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mutter 47.5-1
nano 8.3-1
nautilus 47.2-1
ncurses 6.5-3
ndctl 79-1
neofetch 7.1.0-2
neon 0.34.0-1
neovim 0.10.4-2
netpbm 10.86.44-1
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.50.2-1
ninja 1.12.1-2
nm-connection-editor 1.36.0-1
node-gyp 11.1.0-3
nodejs-lts-jod 22.14.0-2
nodejs-nopt 7.2.1-1
noto-fonts-emoji 1:2.047-1
npm 11.1.0-2
npth 1.8-1
nspr 4.36-1
nss 3.108-1
numactl 2.0.19-1
nvm 0.40.1-1
obsidian 1.8.7-1
ocl-icd 2.3.2-2
ollama 0.5.11-1
onetbb 2022.0.0-2
oniguruma 6.9.10-1
ookla-speedtest-bin 1.2.0-1
opencore-amr 0.1.6-2
opencv 4.11.0-3
openexr 3.3.2-1
openjpeg2 2.5.3-1
openssh 9.9p2-1
openssl 3.4.1-1
opentofu 1.9.0-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.81-2
osinfo-db 20250124-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-mirrorlist 20250101-1
pam 1.7.0-2
pambase 20230918-2
pamixer 1.6-3
pandoc-cli 3.1.12.1-4
pango 1:1.56.1-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
paru 2.0.4-1
paru-debug 2.0.4-1
